312, 32
356, 32
712, 64
580, 64
328, 32
472, 32
636, 64
704, 64
956, 64
1240, 128
536, 64
1084, 128
632, 64
532, 32
604, 64
572, 64
732, 64
628, 64
596, 64
1128, 128
852, 64
348, 32
868, 128
708, 64
1132, 128
228, 16
1112, 128
164, 16
684, 64
624, 64
820, 64
288, 32
624, 64
308, 32
368, 32
1012, 128
300, 32
768, 64
1464, 128
672, 64
1216, 128
820, 64
780, 64
276, 32
516, 64
512, 64
360, 32
820, 64
784, 64
1376, 128
536, 64
592, 64
392, 32
348, 32
416, 32
280, 32
620, 64
312, 32
644, 64
476, 32
2132, 256
432, 32
1304, 128
416, 32
744, 64
1412, 128
1000, 128
272, 32
1480, 128
572, 64
524, 64
752, 64
456, 64
268, 32
712, 64
968, 64
796, 64
684, 64
384, 32
740, 64
372, 32
856, 128
560, 64
688, 64
560, 64
376, 32
1128, 128
952, 128
732, 64
680, 64
1172, 128
576, 64
392, 32
648, 64
272, 32
1452, 128
516, 32
652, 64
476, 64
960, 64
